price,baseAssetAmount,direction,user,status,orderType,marketType,slot,orderId,userOrderId,marketIndex,baseAssetAmountFilled,quoteAssetAmountFilled,reduceOnly,triggerPrice,triggerCondition,existingPositionDirection,postOnly,immediateOrCancel,oraclePriceOffset,auctionDuration,auctionStartPrice,auctionEndPrice,maxTs,oraclePrice,snap_slot
1128.0,0.01,long,Do6srDEZVY4rifUbTbQxxa8qAZg1sFVfG8Hk49hwR6ui,open,limit,perp,167379042,1,0,2,0.0,0.0,False,0,above,long,False,False,0.0,10,0,0,0,1178.3,167641451
1168.7,0.025,long,FniDoTKv1Dve16u3pRghur8VLHFp8HsLD6uzwfrGXWxb,open,limit,perp,167326545,50,0,2,0.0,0.0,True,0,above,short,False,False,0.0,10,0,0,0,1178.3,167641451
1178.279081,19.52,long,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,167641381,74541,0,2,0.0,0.0,False,0,above,short,True,False,-0.020919,10,0,0,0,1178.3,167641451
1178.2975,0.76,long,Yj91PkxywyvWHvSzxJGq2HrUzYUWvte1L5GSr2Kio74,open,limit,perp,167641412,2672,0,2,0.0,0.0,False,0,above,short,True,False,-0.0025,10,0,0,0,1178.3,167641451
1178.3025,0.76,short,Yj91PkxywyvWHvSzxJGq2HrUzYUWvte1L5GSr2Kio74,open,limit,perp,167641412,2673,0,2,0.0,0.0,False,0,above,short,True,False,0.0025,10,0,0,0,1178.3,167641451
1178.534931,9.458,short,6F1EfXceDaRFgBGTg6tNetUkZbsp2YW7CCieeA9ZuY6j,open,limit,perp,167641381,74540,0,2,0.008,9.42832,False,0,above,short,True,False,0.234931,10,0,0,0,1178.3,167641451
1195.0,0.009,short,66yioCuXVrryPoTyw7VVD11GAJArHF5P3gCeYrn5kVRk,open,limit,perp,167541545,109,0,2,0.0,0.0,False,0,above,short,True,False,0.0,10,0,0,0,1178.3,167641451
1204.0,0.003,short,66yioCuXVrryPoTyw7VVD11GAJArHF5P3gCeYrn5kVRk,open,limit,perp,167541586,110,0,2,0.0,0.0,False,0,above,short,True,False,0.0,10,0,0,0,1178.3,167641451
1212.0,0.003,short,66yioCuXVrryPoTyw7VVD11GAJArHF5P3gCeYrn5kVRk,open,limit,perp,167541607,111,0,2,0.0,0.0,False,0,above,short,True,False,0.0,10,0,0,0,1178.3,167641451
1254.0,1.0,short,5DT88jzJB2k9KsrW8cwEBThzpMDMp1a2MpQYhXv7ayg1,open,limit,perp,167230235,72,0,2,0.0,0.0,True,0,above,long,True,False,0.0,10,0,0,0,1178.3,167641451
